Ratings,Movies
9.3 (2.9M),1. The Shawshank Redemption
9.2 (2.1M),2. The Godfather
9.0 (2.9M),3. The Dark Knight
9.0 (1.4M),4. The Godfather Part II
9.0 (885K),5. 12 Angry Men
9.0 (2M),6. The Lord of the Rings: The Return of the King
9.0 (1.5M),7. Schindler's List
8.9 (2.3M),8. Pulp Fiction
8.9 (2M),9. The Lord of the Rings: The Fellowship of the Ring
8.8 (825K),"10. The Good, the Bad and the Ugly"
8.8 (2.3M),11. Forrest Gump
8.8 (1.8M),12. The Lord of the Rings: The Two Towers
8.8 (2.4M),13. Fight Club
8.8 (2.6M),14. Inception
8.7 (1.4M),15. Star Wars: Episode V - The Empire Strikes Back
8.7 (2.1M),16. The Matrix
8.7 (1.3M),17. Goodfellas
8.7 (1.1M),18. One Flew Over the Cuckoo's Nest
8.7 (2.2M),19. Interstellar
8.6 (1.8M),20. Se7en
8.6 (506K),21. It's a Wonderful Life
8.6 (372K),22. Seven Samurai
8.6 (1.6M),23. The Silence of the Lambs
8.6 (1.5M),24. Saving Private Ryan
8.6 (814K),25. City of God
